"","x"
"322","ZNF43"
"323","ZNF454"
"324","ZNF461"
"325","ZNF470"
"326","ZNF471"
"327","ZNF492"
"328","ZNF501"
"329","ZNF506"
"330","ZNF528"
"331","ZNF544"
"332","ZNF549"
"333","ZNF556"
"334","ZNF562"
"335","ZNF568"
"336","ZNF569"
"337","ZNF570"
"338","ZNF572"
"339","ZNF577"
"340","ZNF578"
"341","ZNF582"
"342","ZNF583"
"343","ZNF607"
"344","ZNF620"
"345","ZNF626"
"346","ZNF660"
"347","ZNF677"
"348","ZNF679"
"349","ZNF69"
"350","ZNF701"
"351","ZNF702P"
"352","ZNF714"
"353","ZNF738"
"354","ZNF75A"
"355","ZNF772"
"356","ZNF781"
"357","ZNF793"
"358","ZNF829"
"359","ZNF879"
"360","ZNF880"
"361","ZNF93"
"362","ZNF98"
"363","ZSCAN1"
"364","ZSCAN23"
